verbose:1
nr_items:100
dimensions:2
solver_name:simulated_annealing
nr_iterations:10000
nr_to_unpack:3
max_temperature:1000
Items:
  Item: value:8058 Resources:[5424, 5600]
  Item: value:7106 Resources:[6598, 5734]
  Item: value:5142 Resources:[5687, 7523]
  Item: value:8355 Resources:[6413, 7155]
  Item: value:4895 Resources:[7947, 5229]
  Item: value:7751 Resources:[5392, 6872]
  Item: value:8287 Resources:[4186, 7641]
  Item: value:8894 Resources:[8776, 8048]
  Item: value:7007 Resources:[7304, 6224]
  Item: value:9447 Resources:[7764, 5088]
  Item: value:9075 Resources:[5195, 5194]
  Item: value:7724 Resources:[8775, 5908]
  Item: value:4581 Resources:[9251, 8306]
  Item: value:4454 Resources:[4974, 4625]
  Item: value:4100 Resources:[9110, 5164]
  Item: value:4376 Resources:[4086, 5852]
  Item: value:5343 Resources:[4928, 9124]
  Item: value:6997 Resources:[9755, 5537]
  Item: value:9217 Resources:[5118, 5936]
  Item: value:7494 Resources:[6179, 9287]
  Item: value:6914 Resources:[6479, 9577]
  Item: value:9035 Resources:[5221, 5521]
  Item: value:7716 Resources:[7903, 7436]
  Item: value:6849 Resources:[8237, 9476]
  Item: value:9452 Resources:[9914, 5806]
  Item: value:5028 Resources:[6865, 8595]
  Item: value:4239 Resources:[6974, 5144]
  Item: value:5043 Resources:[5250, 4938]
  Item: value:7578 Resources:[5515, 9304]
  Item: value:7482 Resources:[9486, 9803]
  Item: value:7336 Resources:[6150, 8760]
  Item: value:7446 Resources:[9028, 5537]
  Item: value:4915 Resources:[6619, 5149]
  Item: value:9130 Resources:[4446, 8073]
  Item: value:4039 Resources:[4343, 8307]
  Item: value:5298 Resources:[4838, 8662]
  Item: value:6164 Resources:[9376, 5631]
  Item: value:6746 Resources:[8451, 5301]
  Item: value:6277 Resources:[4298, 9114]
  Item: value:8302 Resources:[9282, 9580]
  Item: value:5165 Resources:[6246, 9069]
  Item: value:9008 Resources:[6435, 4676]
  Item: value:7584 Resources:[5672, 4228]
  Item: value:9507 Resources:[7901, 9857]
  Item: value:6987 Resources:[5802, 7491]
  Item: value:5429 Resources:[4124, 4354]
  Item: value:8035 Resources:[4292, 4423]
  Item: value:4150 Resources:[8822, 8342]
  Item: value:9832 Resources:[8155, 8556]
  Item: value:7083 Resources:[7743, 7671]
  Item: value:5531 Resources:[4677, 9186]
  Item: value:6661 Resources:[8715, 4420]
  Item: value:7880 Resources:[5937, 5621]
  Item: value:5995 Resources:[7151, 7311]
  Item: value:7431 Resources:[6721, 4762]
  Item: value:8581 Resources:[7550, 9267]
  Item: value:9197 Resources:[8882, 6717]
  Item: value:5586 Resources:[5169, 5861]
  Item: value:7079 Resources:[7134, 5763]
  Item: value:9162 Resources:[4287, 6108]
  Item: value:7957 Resources:[6658, 8962]
  Item: value:5830 Resources:[5506, 6272]
  Item: value:6424 Resources:[5882, 5128]
  Item: value:4335 Resources:[7747, 7745]
  Item: value:9906 Resources:[4730, 7382]
  Item: value:7668 Resources:[8204, 5464]
  Item: value:8430 Resources:[5173, 8557]
  Item: value:5800 Resources:[8564, 8938]
  Item: value:8121 Resources:[5580, 9580]
  Item: value:6429 Resources:[8833, 9146]
  Item: value:6828 Resources:[6013, 5692]
  Item: value:9044 Resources:[6961, 6883]
  Item: value:9751 Resources:[7318, 4052]
  Item: value:9921 Resources:[9980, 4490]
  Item: value:9464 Resources:[8634, 6405]
  Item: value:9887 Resources:[5448, 8941]
  Item: value:8001 Resources:[6333, 4109]
  Item: value:8891 Resources:[9252, 8704]
  Item: value:7786 Resources:[5514, 7226]
  Item: value:8440 Resources:[4201, 8954]
  Item: value:6275 Resources:[4796, 8204]
  Item: value:4590 Resources:[5356, 5742]
  Item: value:4805 Resources:[4448, 8714]
  Item: value:4536 Resources:[8870, 7789]
  Item: value:5243 Resources:[6293, 4601]
  Item: value:9871 Resources:[9176, 4161]
  Item: value:4399 Resources:[9193, 4957]
  Item: value:9779 Resources:[5353, 5552]
  Item: value:5750 Resources:[6991, 5210]
  Item: value:7948 Resources:[8585, 6277]
  Item: value:5494 Resources:[8311, 5993]
  Item: value:9914 Resources:[8493, 7543]
  Item: value:5659 Resources:[9168, 6778]
  Item: value:5268 Resources:[7068, 6462]
  Item: value:6715 Resources:[9001, 6020]
  Item: value:5264 Resources:[8905, 9422]
  Item: value:6343 Resources:[9572, 7276]
  Item: value:4488 Resources:[5206, 8452]
  Item: value:6739 Resources:[6074, 8529]
  Item: value:8124 Resources:[8833, 6350]
