1 405798
2 407217
3 415768
4 425155
7 426410
9 427978
12 429241
15 435772
16 441111
18 440148
19 445956
21 455338
24 460321
30 463335
41 463989
42 469456
53 469010
58 467809
68 468971
70 469779
72 469588
73 467868
77 469287
80 468734
91 468641
99 471636
124 472782
125 474586
127 476786
138 478605
146 479151
150 479013
154 480222
156 479688
158 479813
164 480131
166 479751
171 483001
173 485448
185 485400
200 484613
205 483097
214 488304
217 488170
218 488298
285 488861
286 487929
298 485322
299 485004
304 485915
306 484958
307 484913
324 486132
326 488068
341 486506
355 489022
356 487423
361 487310
403 489418
412 490275
420 490237
435 491469
437 495993
454 496532
592 496532
708 499297
822 498992
837 497315
848 495742
853 497143
869 494520
874 485281
881 487071
893 490796
904 490796
905 487048
913 485713
938 486089
942 485837
954 484739
972 484425
975 484313
1002 485778
1040 486599
1056 486977
1066 488844
1082 489516
1083 492667
1154 493340
1195 491508
1217 491714
1236 491252
1256 490676
1274 492971
1287 494737
1310 494784
1312 494786
1318 493304
1376 492360
1400 492464
1473 492981
1478 496207
1529 492400
1537 490883
1539 490125
1544 486936
1553 486672
1572 487850
1578 487147
1597 486856
1635 488279
1677 491666
1771 492186
1785 493616
1815 490980
1911 493044
1914 492185
1916 492565
1965 492771
1987 490560
2029 491046
2057 492902
2092 492558
2097 494807
2099 497132
2118 498268
2176 499145
2291 500492
2325 499452
2422 498860
2446 499274
2569 499140
2774 497013
2819 495172
2835 494391
2873 492842
2888 490300
2894 491194
2944 489934
2977 491951
2986 492050
2998 493013
3009 493323
3083 495130
3097 495821
3305 496193
3325 496337
3334 495948
3337 495704
3453 495773
3537 497293
3627 498315
3701 499093
3720 498485
3759 497677
3841 498309
3898 497298
3904 497463
3980 497971
4048 497714
4093 495156
4119 496191
4185 496191
4232 498202
4346 498301
4393 498301
4426 498301
4587 498301
4593 498301
4884 498301
4999 498301
5042 498373
5061 497664
5203 498045
5278 497324
5380 497324
5825 497598
5836 497405
5941 496409
5994 497464
6018 497499
6037 498153
6102 498467
6112 499513
6410 499355
6681 499355
6743 499524
6982 499569
7015 501944
7378 501268
8073 502978
8349 502933
8587 503407
9208 503758
9482 504337
9812 504917
